district_id,district,school_id,school,grade,scheduled_start,actual_start,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,days_1,days_2,days_3,days_4,days_5,days_6,days_7,days_8,days_9,days_10,survey_date
607,Barrow County,193,Bramlett Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,198,Westside Middle School,06-08 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,205,Bethlehem Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,289,Russell Middle School,06-08 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,298,Yargo Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,299,Winder Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,Hybrid,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,4,,,2,2,,
607,Barrow County,300,Barrow Arts and Sciences Academy,08-12 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,Hybrid,,6,,,,,,2,2,2,
607,Barrow County,1050,Auburn Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,3052,Winder-Barrow High School,09-12 ,,,Virtual,Hybrid,In-person,In-person,Hybrid,In-person,In-person,Hybrid,Hybrid,Hybrid,,6,,,3,,,2,2,2,
607,Barrow County,4050,Holsenbeck Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
607,Barrow County,5050,Statham Elementary School,PK-05 ,,,Virtual,Hybrid,In-person,In-person,In-person,In-person,In-person,Hybrid,Hybrid,In-person,,6,,,,,,2,2,,
608,Bartow County,101,Woodland Middle School at Euharlee,06-08 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,104,Clear Creek Elementary School,PK-05 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
608,Bartow County,105,Adairsville High School,09-12 ,8/5/2020,8/5/2020,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,In-person,,,,,,,,,,,8/25/2021 9:07
